issue_id,table,fields,issue,affected_rows,affected_pct,severity,evidence,rule,resolution
DQ-01,customer_info,all,Exact duplicate customer records,195,1.95,High,"10,200 rows for 10,000 unique CustomerIDs; 195 ID groups byte-identical",Drop duplicate rows (keep first occurrence),auto-fixed
DQ-02,customer_info,SignupDate,"Conflicting duplicate records (same ID, different SignupDate)",10,0.1,High,"IDs CUST_248, CUST_308, CUST_333, CUST_391, CUST_466 each appear twice with every other field identical and only SignupDate differing - and in all 5 cases the two dates are an exact month/day swap (CUST_248: 2022-06-09 vs 2022-09-06; CUST_308: 2018-01-03 vs 2018-03-01; CUST_333: 2023-02-11 vs 2023-11-02; CUST_391: 2023-03-11 vs 2023-11-03; CUST_466: 2021-03-07 vs 2021-07-03), i.e. a DD/MM vs MM/DD parsing ambiguity. Neither value in each pair can be trusted, and the same ambiguity may affect records that no duplicate happens to expose","Keep first occurrence, set dq_dup_conflict flag, exclude from modelling",flagged-for-review
DQ-03,customer_info,Age,Missing values (missing completely at random),3500,35.0,High,"Exactly 3,500/10,000 = 35.0000% missing; missing rate is flat across Gender (0.341-0.359), Region (0.347-0.353), ContractType (0.346-0.354) and Churn (0.350/0.356) - all inside 3*SE sampling noise",Do not drop rows. Provide Age_imputed (median = 43) behind an explicit flag column,auto-fixed-with-flag
DQ-04,customer_info,MonthlyCharges,Values from a distinct contaminant distribution (implausible spend),49,0.49,High,"2-component Gaussian mixture separates a component with weight 0.0050 (mean 257, sd 65); BIC improves 89,798 -> 83,646 (dBIC=6,152). A log-normal fitted to the clean body predicts 0.79 rows above 200 but 38 are observed. Highest value 390.30 = 7.8x the median",Set MonthlyCharges_clean = NULL and flag via dq_charge_contaminated,auto-fixed-with-flag
DQ-05,customer_info,MonthlyCharges,Negative monthly charges (logically impossible),5,0.05,High,"Values: -6.72, -4.55, -3.89, -3.15, -0.46",Set MonthlyCharges_clean = NULL and flag via dq_charge_negative,auto-fixed-with-flag
DQ-06,customer_info,MonthlyCharges,Implausibly low positive charges (below the clean-body minimum),24,0.24,Medium,Range 0.38-8.74 against a clean-body minimum of 8.89 - too small for any tariff in this product set,Flag via dq_charge_implausible_low for review (not auto-nulled),flagged-for-review
DQ-07,usage_data x customer_info,Month vs SignupDate,Usage rows dated before the customer's signup date,2278,1.9,High,"2,278 rows (1.90%) across 751 customers; median 48 days and up to 276 days before signup. 751 of the 920 customers who signed up in 2023 received activity from Jan 2023 - the dataset hands every customer a full 12-month 2023 history regardless of when they joined",Cannot be repaired without the source of truth. Flag via dq_pre_signup; exclude pre-signup rows when computing tenure-based metrics,flagged-for-review
DQ-08,usage_data,DataUsageGB,"Point mass at exactly 0 GB while call/SMS activity is normal (left-censoring at a floor, not genuine zero usage)",58,0.048,Low,"A smooth Normal(9.90, 3.07) predicts ~0 rows exactly at zero; 58 are observed with none below. Those rows average 518.6 call-minutes vs 492.4 overall, so the customers were clearly active",Flag via dq_data_zero_censored; treat as censored in any average,flagged-for-review
DQ-09,usage_data,SMSCount,"Distribution is exactly Uniform(0,49) - carries no behavioural structure",120000,100.0,Medium,"mean 24.525 vs uniform 24.500; sd 14.424 vs uniform 14.430; kurtosis -1.200 vs uniform -1.200; value counts flat (2,297-2,508 per value) with a hard stop at 49. Real SMS behaviour is right-skewed with a mode near zero",Not repairable - record as a data-realism limitation,informational
DQ-10,usage_data,"CallMinutes, DataUsageGB","Behavioural metrics are Gaussian synthetic draws, not real usage shapes",120000,100.0,Medium,Kurtosis 0.189 (CallMinutes) and -0.102 (DataUsageGB) against 0.000 for a Normal. Real call and data usage are strongly right-skewed; these are symmetric,Not repairable - record as a data-realism limitation,informational
DQ-11,churn_labels,Churn,The churn label has no detectable relationship with any provided feature - the dataset cannot support a predictive churn model,10000,100.0,Critical (use case),"5-fold CV ROC-AUC 0.5176 (logistic), 0.5170 (random forest, 500 trees), 0.5164 (gradient boosting) against a 0.5000 random baseline. Shuffling the labels 20 times produced null AUCs up to 0.5372, i.e. the real models score inside the noise band. Single-feature tests: all p>0.11 except SMSCount (p=0.026), which is 1 of 10 tests and therefore expected by chance",Do not sell or build a predictive model on this data; report the label as an uninformative target and treat the exercise as coverage/quality only,informational
